level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	70	1	1	1	3995	836	19	13	47.311726	o-
5	1	71	1	1	1	4307	830	103	21	34.712772	Cen
5	1	72	1	1	1	4493	830	72	32	21.297007	ene
5	1	72	1	1	2	4576	830	36	13	86.778717	SLIDE
5	1	72	1	1	3	4623	830	31	13	94.238731	GATE
5	1	73	1	1	1	2490	842	278	28	67.748466	11520-M-FG-03
5	1	74	1	1	1	3746	863	86	26	39.343456	ee
5	1	75	1	1	1	3995	872	71	13	90.506744	HYDRAULIC
5	1	75	1	1	2	4077	872	61	13	90.506744	CONTROL
5	1	75	1	1	3	4149	872	28	12	96.225868	UNIT
5	1	76	1	1	1	4302	880	105	35	0.000000	U—_
5	1	77	1	1	1	4493	879	51	32	33.806858	vee
5	1	77	1	1	2	4554	879	36	13	44.320545	SUDE
5	1	77	1	1	3	4601	879	31	13	96.284836	GATE
5	1	78	1	1	1	3992	922	44	12	94.596428	SURGE
5	1	78	1	1	2	4047	922	20	12	94.596428	BIN
5	1	79	1	1	1	3771	904	31	37	79.524658	V
5	1	80	1	1	1	4312	944	39	12	42.059284	h™
5	1	81	1	1	1	4489	940	74	13	86.506371	FLEXIBLE
5	1	81	1	1	2	4577	940	43	13	94.220993	HOSE
5	1	82	1	1	1	3993	973	69	13	95.911766	PRESSURE
5	1	82	1	1	2	4072	973	49	13	95.911766	VESSEL
5	1	83	1	1	1	4490	972	76	13	96.291588	REDUCER
5	1	84	1	1	1	3773	950	27	52	0.000000	y
5	1	85	1	1	1	4488	1006	91	13	86.348839	EXPANSION
5	1	85	1	1	2	4593	1006	45	13	93.664116	JOINT
5	1	86	1	1	1	3993	1011	35	13	95.208488	AXIAL
5	1	86	1	1	2	4039	1011	72	13	94.653755	EXPANSION
5	1	86	1	1	3	4122	1011	37	12	94.653755	JOINT
5	1	86	1	1	4	4189	979	54	52	49.062614	/\
5	1	87	1	1	1	4325	971	19	61	75.463867	0
5	1	88	1	1	1	364	1181	118	17	95.915352	CLEANING
5	1	88	1	1	2	502	1181	43	17	96.961296	AND
5	1	89	1	1	1	637	1185	196	13	26.605488	71418-537H-HCY-15
5	1	90	1	1	1	1557	1181	118	17	95.654022	CLEANING
5	1	90	1	1	2	1695	1181	43	17	96.905495	AND
5	1	91	1	1	1	1951	1185	195	13	42.411263	71118=534H=HCY—-15
5	1	92	1	1	1	2788	1181	117	17	96.381187	CLEANING
5	1	92	1	1	2	2925	1181	44	17	96.466949	AND
5	1	93	1	1	1	3182	1186	16	12	2.769575	71
5	1	93	1	1	2	3205	1186	172	12	2.769575	4118-531H-HCY-15
5	1	94	1	1	1	375	1206	101	17	96.173180	COOLING
5	1	95	1	1	1	497	1206	38	17	96.891205	AIR
5	1	96	1	1	1	1568	1206	101	17	95.705910	COOLING
5	1	96	1	1	2	1690	1206	38	17	95.314568	AIR
5	1	97	1	1	1	2798	1206	102	17	95.955078	COOLING
5	1	97	1	1	2	2920	1206	38	17	96.029671	AIR
5	1	98	1	1	1	760	1242	67	19	24.820332	YV537
5	1	99	1	1	1	2074	1242	63	19	36.710701	yvos4
5	1	100	1	1	1	3304	1242	63	19	0.000000	yV55!
5	1	101	1	1	1	527	1238	81	42	45.964355	VoS2Hy
5	1	102	1	1	1	820	1269	21	12	95.913681	AH
5	1	103	1	1	1	1841	1238	80	42	47.067566	VSSSHy
5	1	104	1	1	1	2134	1269	20	12	96.516174	AH
