level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	14	9	4633	477	60	12	95.702965	RUPTURE
5	1	1	1	14	10	4704	477	28	12	94.947517	DISC
5	1	1	1	15	1	3752	517	88	30	47.321682	Sees
5	1	1	1	15	2	3995	524	38	13	95.831917	MIXER
5	1	1	1	15	3	4318	506	39	50	57.332687	=
5	1	1	1	15	4	4497	511	41	13	95.792908	FILTER
5	1	1	1	16	1	4497	545	50	12	96.652863	NOZZLE
5	1	1	1	17	1	307	560	118	15	4.686146	INSTRUMENT
5	1	1	1	17	2	439	560	28	14	4.686146	AIR
5	1	1	1	17	3	696	564	65	18	77.485321	V540H
5	1	1	1	17	4	3770	567	39	28	89.832962	S
5	1	1	1	17	5	3995	569	21	13	95.556190	AIR
5	1	1	1	17	6	4330	579	6	6	71.213966	°
5	1	1	1	17	7	4497	570	75	19	92.769684	AIR/WATER
5	1	1	1	17	8	4583	573	35	12	96.038872	INLET
5	1	1	1	18	1	288	591	142	18	78.535942	12PBO01-PID-403
5	1	1	1	18	2	441	589	43	25	59.363632	(G-B)
5	1	1	1	18	3	507	585	195	13	0.000000	>2LS=S4
5	1	1	1	18	4	607	581	23	37	20.508385	He
5	1	1	1	18	5	635	585	66	13	0.000000	ACY=25
5	1	1	1	18	6	711	594	29	13	25.963259	pg
5	1	1	1	18	7	1998	594	14	13	41.272461	a
5	1	1	1	18	8	3995	588	72	13	96.126816	RESERVOIR
5	1	1	1	19	1	4319	601	29	29	32.438034	fae)
5	1	1	1	19	2	4497	610	44	13	96.669807	MOTOR
5	1	1	1	20	1	3751	604	72	107	0.000000	Fo
5	1	1	1	20	2	3996	654	27	12	43.732315	silo
5	1	1	1	20	3	4320	650	22	38	49.902069	3}
5	1	1	1	20	4	4497	664	22	12	40.102257	AIR.
5	1	1	1	20	5	4532	664	26	12	79.239807	FAN
5	1	1	1	21	1	320	695	78	14	90.598831	SERVICE
5	1	1	1	21	2	412	695	29	14	90.598831	AIR
5	1	1	1	21	3	696	698	65	19	84.597992	V541H
5	1	1	1	21	4	3442	679	139	28	90.854294	DIVERTER
5	1	1	1	21	5	3605	679	90	28	96.134583	VALVE
5	1	1	1	21	6	4321	688	29	43	39.023216	mW
5	1	1	1	22	1	201	719	19	26	11.190042	GPP
5	1	1	1	22	2	288	726	142	18	0.000000	teppoot-pip-go2
5	1	1	1	22	3	442	723	41	26	6.844578	(ane)
5	1	1	1	22	4	507	720	233	21	2.175512	2228S
5	1	1	1	22	5	596	711	28	42	7.593079	UH
5	1	1	1	22	6	634	720	67	21	0.000000	Hy=28
5	1	1	1	22	7	708	711	35	42	38.762054	pg
5	1	1	1	22	8	1925	728	13	13	21.464649	a
5	1	1	1	22	9	3429	719	278	28	52.714607	11520-M-FG-03
5	1	1	1	22	10	3982	736	61	13	0.000000	onERTER
5	1	1	1	22	11	4494	718	78	12	95.905991	SILENCER
5	1	1	1	22	12	4854	718	19	27	64.218040	C
5	1	1	1	23	1	3982	755	39	13	95.266220	VALVE
5	1	1	1	23	2	4311	741	46	49	42.549911	I~
5	1	1	1	23	3	4493	767	82	13	92.886879	VIBRATION
5	1	1	1	23	4	4588	767	87	13	95.280014	ABSORBER
5	1	1	1	24	1	585	801	44	33	40.145912	|
5	1	1	1	24	2	1125	827	26	14	50.264458	=|
5	1	1	1	24	3	1191	796	139	28	74.599953	DIVERTER
5	1	1	1	24	4	1354	796	90	28	96.825813	VALVE
5	1	1	1	24	5	1899	801	44	33	31.231953	ih
5	1	1	1	24	6	2433	827	25	14	79.116524	=|
5	1	1	1	24	7	2502	802	140	28	90.237389	DIVERTER
5	1	1	1	24	8	2666	802	89	28	96.994453	VALVE
5	1	1	1	24	9	3129	800	44	33	38.183231	ih
5	1	1	1	24	10	3604	827	26	14	93.170868	=
5	1	1	1	24	11	3739	782	113	71	33.495121	‘Ca
5	1	1	1	24	12	3995	817	86	13	31.730999	POSTQOLER
5	1	1	1	24	13	4092	817	70	13	33.221245	COWETOR
5	1	1	1	24	14	4173	817	31	13	73.311432	WT
5	1	1	1	24	15	4315	830	42	1	62.291782	_
5	1	1	1	24	16	4493	830	72	13	0.000000	syenune
5	1	1	1	24	17	4576	830	36	13	32.850613	sure
5	1	1	1	24	18	4623	830	31	13	36.164745	ox
5	1	1	1	25	1	1899	836	44	9	18.543901	4
5	1	1	1	25	2	3129	836	12	9	16.692076	a
5	1	1	1	25	3	4005	815	13	39	2.625151	oi
5	1	1	1	25	4	4366	836	44	15	45.243282	=n
5	1	1	1	26	1	585	836	44	32	58.330364	ao
5	1	1	1	26	2	1125	843	26	26	48.726974	&}
5	1	1	1	26	3	1179	836	277	28	32.582787	11920-M-FG-02
5	1	1	1	26	4	1899	847	44	21	27.189398	ag
5	1	1	1	26	5	2433	843	26	26	37.431835	&)
5	1	1	1	26	6	2490	842	278	28	58.639370	11520-M-FC-03
5	1	1	1	26	7	3129	846	13	21	35.043674	a
5	1	1	1	26	8	3161	846	12	21	53.543213	2
5	1	1	1	26	9	3604	843	26	26	66.300346	a
5	1	1	1	26	10	3995	836	60	13	1.707458	_—
5	1	1	1	26	11	4316	857	41	1	81.729233	=
5	1	1	1	26	12	4493	849	39	13	18.515339	vate
5	1	1	1	27	1	592	871	1	11	41.148865	ty
5	1	1	1	27	2	1905	871	33	10	34.755970	to
5	1	1	1	27	3	3136	870	1	11	31.277405	i
5	1	1	1	27	4	3750	862	36	34	11.018171	iota
5	1	1	1	27	5	3995	872	71	13	92.407127	HYDRAULIC
5	1	1	1	27	6	4077	872	61	13	89.771759	CONTROL
5	1	1	1	27	7	4149	872	28	12	89.771759	UNIT
5	1	1	1	27	8	4493	879	51	13	96.199112	MANUAL
5	1	1	1	27	9	4554	879	36	13	62.824722	SLIDE
5	1	1	1	27	10	4601	879	31	13	82.200920	CATE
5	1	1	1	28	1	585	919	44	22	10.350647	O14
5	1	1	1	28	2	1124	916	22	31	36.088005	Ss
5	1	1	1	28	3	1899	919	12	22	7.182083	a)
5	1	1	1	28	4	1930	919	13	22	59.724800	7
5	1	1	1	28	5	2436	921	18	14	94.758575	2
5	1	1	1	28	6	3129	918	44	22	28.863625	oe
5	1	1	1	28	7	3607	921	18	14	93.581253	2
5	1	1	1	28	8	3771	900	35	46	29.095173	V)
5	1	1	1	28	9	3992	922	44	12	85.685326	SURGE
5	1	1	1	28	10	4047	922	20	12	91.746468	BIN
5	1	1	1	29	1	585	944	12	9	0.000000	oo]
5	1	1	1	29	2	617	944	12	9	54.709137	0
5	1	1	1	29	3	1128	937	18	20	14.312983	o
5	1	1	1	29	4	1899	944	12	8	50.750160	wo]
5	1	1	1	29	5	1930	944	13	8	46.198647	oo
5	1	1	1	29	6	2436	937	18	20	22.066174	a
5	1	1	1	29	7	3129	943	13	9	64.971252	w|
5	1	1	1	29	8	3161	943	12	9	46.947121	«|
5	1	1	1	29	9	3607	937	18	20	37.483692	a
5	1	1	1	29	10	4312	944	39	12	34.515541	a]
5	1	1	1	29	11	4489	940	74	13	93.279457	FLEXIBLE
5	1	1	1	29	12	4577	940	43	13	93.548508	HOSE
5	1	1	1	30	1	585	956	44	17	0.000000	SS
5	1	1	1	30	2	1124	952	22	31	46.687473	Ss
5	1	1	1	30	3	1899	955	12	17	12.057629	Ss)
5	1	1	1	30	4	1931	958	12	14	52.753029	5
5	1	1	1	30	5	2432	952	22	31	48.928116	P=
5	1	1	1	30	6	3129	955	44	17	12.298021	SS
5	1	1	1	30	7	3607	960	18	16	69.075668	Ss
5	1	1	1	31	1	585	980	44	16	33.586548	ae
5	1	1	1	31	2	1128	977	18	29	87.842079	=
5	1	1	1	31	3	1899	980	12	16	48.848999	a
5	1	1	1	31	4	1930	980	13	16	65.029015	x
5	1	1	1	31	5	2436	977	18	29	95.469032	=
